feature_order,feature,bien_gi,y_nghia_bien,source_group,feature_flow_stage,dtype,is_numeric,missing_pct,n_unique,original_table,original_description
13,NAME_INCOME_TYPE,Loại thu nhập,"Nguồn/loại thu nhập chính của khách hàng. Mô tả gốc: Clients income type (businessman, working, maternity leave,)",Raw application column from application_train.csv,00 Raw application,str,False,0.0,8,application_{train|test}.csv,"Clients income type (businessman, working, maternity leave,)"
14,NAME_EDUCATION_TYPE,Trình độ học vấn,Cấp học cao nhất của khách hàng. Mô tả gốc: Level of highest education the client achieved,Raw application column from application_train.csv,00 Raw application,str,False,0.0,5,application_{train|test}.csv,Level of highest education the client achieved
15,NAME_FAMILY_STATUS,Tình trạng gia đình,Tình trạng hôn nhân/gia đình của khách hàng. Mô tả gốc: Family status of the client,Raw application column from application_train.csv,00 Raw application,str,False,0.0,6,application_{train|test}.csv,Family status of the client
16,NAME_HOUSING_TYPE,Loại hình nhà ở,"Khách hàng đang sống trong loại hình nhà ở nào. Mô tả gốc: What is the housing situation of the client (renting, living with parents, ...)",Raw application column from application_train.csv,00 Raw application,str,False,0.0,6,application_{train|test}.csv,"What is the housing situation of the client (renting, living with parents, ...)"
17,REGION_POPULATION_RELATIVE,Mật độ dân cư khu vực,Chỉ số tương đối về dân số nơi khách hàng sinh sống. Mô tả gốc: Normalized population of region where client lives (higher number means the client lives in more populated region),Raw application column from application_train.csv,00 Raw application,float64,True,0.0,81,application_{train|test}.csv,Normalized population of region where client lives (higher number means the client lives in more populated region)
18,DAYS_BIRTH,Tuổi theo ngày,Số ngày từ ngày sinh đến thời điểm nộp hồ sơ; giá trị âm là quá khứ. Mô tả gốc: Client's age in days at the time of application,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,17460,application_{train|test}.csv,Client's age in days at the time of application
19,DAYS_EMPLOYED,Thâm niên làm việc theo ngày,Số ngày làm việc tính đến thời điểm nộp hồ sơ; mã 365243 được xử lý là đặc biệt. Mô tả gốc: How many days before the application the person started current employment,Raw application column from application_train.csv,00 Raw application,float64,True,18.00716071945394,12573,application_{train|test}.csv,How many days before the application the person started current employment
20,DAYS_REGISTRATION,Thời gian thay đổi đăng ký,Số ngày từ lần thay đổi thông tin đăng ký gần nhất đến hiện tại. Mô tả gốc: How many days before the application did client change his registration,Raw application column from application_train.csv,00 Raw application,float64,True,0.0,15688,application_{train|test}.csv,How many days before the application did client change his registration
21,DAYS_ID_PUBLISH,Thời gian cấp giấy tờ tùy thân,Số ngày từ khi giấy tờ tùy thân được cấp đến thời điểm hồ sơ. Mô tả gốc: How many days before the application did client change the identity document with which he applied for the loan,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,6168,application_{train|test}.csv,How many days before the application did client change the identity document with which he applied for the loan
22,OWN_CAR_AGE,Tuổi xe,Số năm tuổi của xe nếu khách hàng sở hữu xe. Mô tả gốc: Age of client's car,Raw application column from application_train.csv,00 Raw application,float64,True,65.9908100848425,62,application_{train|test}.csv,Age of client's car
23,FLAG_MOBIL,Biến cờ nhị phân,"Biến dạng 0/1 cho biết khách hàng có/không có đặc điểm tương ứng. Mô tả gốc: Did client provide mobile phone (1=YES, 0=NO)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Did client provide mobile phone (1=YES, 0=NO)"
24,FLAG_EMP_PHONE,Biến cờ nhị phân,"Biến dạng 0/1 cho biết khách hàng có/không có đặc điểm tương ứng. Mô tả gốc: Did client provide work phone (1=YES, 0=NO)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Did client provide work phone (1=YES, 0=NO)"
25,FLAG_WORK_PHONE,Biến cờ nhị phân,"Biến dạng 0/1 cho biết khách hàng có/không có đặc điểm tương ứng. Mô tả gốc: Did client provide home phone (1=YES, 0=NO)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Did client provide home phone (1=YES, 0=NO)"
26,FLAG_CONT_MOBILE,Biến cờ nhị phân,"Biến dạng 0/1 cho biết khách hàng có/không có đặc điểm tương ứng. Mô tả gốc: Was mobile phone reachable (1=YES, 0=NO)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Was mobile phone reachable (1=YES, 0=NO)"
27,FLAG_PHONE,Biến cờ nhị phân,"Biến dạng 0/1 cho biết khách hàng có/không có đặc điểm tương ứng. Mô tả gốc: Did client provide home phone (1=YES, 0=NO)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Did client provide home phone (1=YES, 0=NO)"
28,FLAG_EMAIL,Biến cờ nhị phân,"Biến dạng 0/1 cho biết khách hàng có/không có đặc điểm tương ứng. Mô tả gốc: Did client provide email (1=YES, 0=NO)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Did client provide email (1=YES, 0=NO)"
29,OCCUPATION_TYPE,Nghề nghiệp,Nhóm nghề nghiệp của khách hàng. Mô tả gốc: What kind of occupation does the client have,Raw application column from application_train.csv,00 Raw application,str,False,31.34554536260492,18,application_{train|test}.csv,What kind of occupation does the client have
30,CNT_FAM_MEMBERS,Số thành viên gia đình,Tổng số thành viên trong gia đình/hộ của khách hàng. Mô tả gốc: How many family members does client have,Raw application column from application_train.csv,00 Raw application,float64,True,0.0006503832383231,17,application_{train|test}.csv,How many family members does client have
31,REGION_RATING_CLIENT,Xếp hạng khu vực,"Mức xếp hạng rủi ro khu vực nơi khách hàng sinh sống/làm việc. Mô tả gốc: Our rating of the region where client lives (1,2,3)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,3,application_{train|test}.csv,"Our rating of the region where client lives (1,2,3)"
32,REGION_RATING_CLIENT_W_CITY,Xếp hạng khu vực,"Mức xếp hạng rủi ro khu vực nơi khách hàng sinh sống/làm việc. Mô tả gốc: Our rating of the region where client lives with taking city into account (1,2,3)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,3,application_{train|test}.csv,"Our rating of the region where client lives with taking city into account (1,2,3)"
33,WEEKDAY_APPR_PROCESS_START,Biến gốc từ application,Biến gốc trong bảng application_train/application_test; dùng để mô tả hồ sơ khách hàng. Mô tả gốc: On which day of the week did the client apply for the loan,Raw application column from application_train.csv,00 Raw application,str,False,0.0,7,application_{train|test}.csv,On which day of the week did the client apply for the loan
34,HOUR_APPR_PROCESS_START,Biến gốc từ application,Biến gốc trong bảng application_train/application_test; dùng để mô tả hồ sơ khách hàng. Mô tả gốc: Approximately at what hour did the client apply for the loan,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,24,application_{train|test}.csv,Approximately at what hour did the client apply for the loan
35,REG_REGION_NOT_LIVE_REGION,Cờ khác biệt nơi ở/làm việc,"Đánh dấu khác biệt giữa địa chỉ đăng ký, nơi ở và nơi làm việc của khách hàng. Mô tả gốc: Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)"
36,REG_REGION_NOT_WORK_REGION,Cờ khác biệt nơi ở/làm việc,"Đánh dấu khác biệt giữa địa chỉ đăng ký, nơi ở và nơi làm việc của khách hàng. Mô tả gốc: Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)"
37,LIVE_REGION_NOT_WORK_REGION,Cờ khác biệt nơi ở/làm việc,"Đánh dấu khác biệt giữa địa chỉ đăng ký, nơi ở và nơi làm việc của khách hàng. Mô tả gốc: Flag if client's contact address does not match work address (1=different, 0=same, at region level)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)"
38,REG_CITY_NOT_LIVE_CITY,Cờ khác biệt nơi ở/làm việc,"Đánh dấu khác biệt giữa địa chỉ đăng ký, nơi ở và nơi làm việc của khách hàng. Mô tả gốc: Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)"
39,REG_CITY_NOT_WORK_CITY,Cờ khác biệt nơi ở/làm việc,"Đánh dấu khác biệt giữa địa chỉ đăng ký, nơi ở và nơi làm việc của khách hàng. Mô tả gốc: Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)"
40,LIVE_CITY_NOT_WORK_CITY,Cờ khác biệt nơi ở/làm việc,"Đánh dấu khác biệt giữa địa chỉ đăng ký, nơi ở và nơi làm việc của khách hàng. Mô tả gốc: Flag if client's contact address does not match work address (1=different, 0=same, at city level)",Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)"
41,ORGANIZATION_TYPE,Loại tổ chức làm việc,Nhóm tổ chức/ngành nơi khách hàng làm việc. Mô tả gốc: Type of organization where client works,Raw application column from application_train.csv,00 Raw application,str,False,0.0,58,application_{train|test}.csv,Type of organization where client works
42,EXT_SOURCE_1,Điểm nguồn ngoài 1,Điểm tín dụng/rủi ro từ nguồn bên ngoài thứ nhất; biến black-box. Mô tả gốc: Normalized score from external data source,Raw application column from application_train.csv,00 Raw application,float64,True,56.381072546998325,114584,application_{train|test}.csv,Normalized score from external data source
43,EXT_SOURCE_2,Điểm nguồn ngoài 2,Điểm tín dụng/rủi ro từ nguồn bên ngoài thứ hai; giá trị cao thường gắn với rủi ro thấp hơn. Mô tả gốc: Normalized score from external data source,Raw application column from application_train.csv,00 Raw application,float64,True,0.21462646864665,119831,application_{train|test}.csv,Normalized score from external data source
44,EXT_SOURCE_3,Điểm nguồn ngoài 3,Điểm tín dụng/rủi ro từ nguồn bên ngoài thứ ba; giá trị cao thường gắn với rủi ro thấp hơn. Mô tả gốc: Normalized score from external data source,Raw application column from application_train.csv,00 Raw application,float64,True,19.825307062186397,814,application_{train|test}.csv,Normalized score from external data source
45,APARTMENTS_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến APARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.74972927797705,2339,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
46,BASEMENTAREA_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến BASEMENTAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,58.51595552679416,3780,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
47,YEARS_BEGINEXPLUATATION_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến YEARS_BEGINEXPLUATATION. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,48.781019215572776,285,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
48,YEARS_BUILD_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến YEARS_BUILD. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,66.49778381911543,149,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
49,COMMONAREA_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến COMMONAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,69.87229725115525,3181,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
50,ELEVATORS_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến ELEVATORS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,53.29597965601231,257,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
51,ENTRANCES_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến ENTRANCES. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.3487680115508,285,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
52,FLOORSMAX_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến FLOORSMAX. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,49.76082156410665,403,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
53,FLOORSMIN_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến FLOORSMIN. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,67.84862980511267,305,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
54,LANDAREA_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến LANDAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,59.376737742714894,3527,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
55,LIVINGAPARTMENTS_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến LIVINGAPARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,68.35495315614726,1868,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
56,LIVINGAREA_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến LIVINGAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.19332641759157,5199,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
57,NONLIVINGAPARTMENTS_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến NONLIVINGAPARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,69.43296337366793,386,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
58,NONLIVINGAREA_AVG,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố AVG là cách đo/nguồn thống kê của biến NONLIVINGAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,55.17916432257708,3290,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
59,APARTMENTS_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến APARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.74972927797705,760,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
60,BASEMENTAREA_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến BASEMENTAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,58.51595552679416,3841,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
61,YEARS_BEGINEXPLUATATION_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến YEARS_BEGINEXPLUATATION. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,48.781019215572776,221,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
62,YEARS_BUILD_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến YEARS_BUILD. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,66.49778381911543,154,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
63,COMMONAREA_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến COMMONAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,69.87229725115525,3128,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
64,ELEVATORS_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến ELEVATORS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,53.29597965601231,26,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
65,ENTRANCES_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến ENTRANCES. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.3487680115508,30,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
66,FLOORSMAX_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến FLOORSMAX. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,49.76082156410665,25,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
